Project Data;;;Project Properties;;;;;;;;;;Coverage Scores;;;;;;Zero-Coverage;TSR results: Checked Coverage;;;;;;;;;;;;;;;TSR results: Line Coverage;;;;;;;;;;;;;;;TSR results: Method Coverage;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Test Case Mode;Greedy HGS;;;;;Delayed Greedy;;;;;Genetic;;;;;Greedy HGS;;;;;Delayed Greedy;;;;;Genetic;;;;;Greedy HGS;;;;;Delayed Greedy;;;;;Genetic;;;;
ProjectID;Project name;Version;S_LOC;T_LOC;T vs S LOC;#Assertions;#TCs_orig;Ass/TC;Ass/loc;T_parse;MUT_str_orig;MUT_sc_orig;Cov_check;T_cov_check;Cov_line;T_cov_line;Cov_meth;T_cov_meth;keep_zero_cov_TCs;#TCs_rts_check_greed;T_red_checked_greed;RedFactor_checked_greed;MUT_strg_check_greed;MUT_sc_check_greed;#TCs_rts_check_del;T_red_checked_del;RedFactor_checked_del;MUT_str_check_del;MUT_sc_check_del;#TCs_rts_check_gen;T_red_checked_gen;RedFactor_checked_gen;MUT_str_check_gen;MUT_sc_check_gen;#TCs_rts_line_greed;T_red_line_greed;RedFactor_line_greed;MUT_str_line_greed;MUT_sc_line_greed;#TCs_rts_line_del;T_red_line_del;RedFactor_line_del;MUT_str_line_del;MUT_sc_line_del;#TCs_rts_line_gen;T_red_line_gen;RedFactor_line_greed;MUT_str_line_gen;MUT_sc_line_gen;#TCs_rts_meth_greed;T_red_meth_greed;RedFactor_meth_greed;MUT_str_meth_greed;MUT_sc_meth_greed;#TCs_rts_meth_del;T_red_meth_del;RedFactor_meth_del;MUT_str_meth_del;MUT_sc_meth_del;#TCs_rts_meth_gen;T_red_meth_gen;RedFactor_meth_gen;MUT_str_meth_gen;MUT_sc_meth_gen
1;commons-lang;3.4 (2015);68685;55477;0.8077;13731;2622;5.2368;0.1999;3.400;0.89;0.85;0.6350;171 532 875;0.9315;2554.12;0.9254;2615.17;FALSCH;1146;5.671;0.563;0.86;0.76;1142;770.813;0.564;0.86;0.75;2187;1329.971;0.166;0.88;0.81;1349;12.999;0.486;0.86;0.81;1347;1640.268;0.486;0.86;0.82;2507;2461.12;0.044;0.89;0.83;949;3.171;0.638;0.82;0.72;945;713.416;0.640;0.81;0.71;2425;509.891;0.075;0.88;0.82
;;;;;;;;;;;;;;;;;;;WAHR;1461;6.390;0.443;0.86;0.77;1457;782.382;0.444;0.86;0.77;2502;1781.024;0.046;0.89;0.83;1349;13.832;0.486;0.86;0.81;1347;1451.133;0.486;0.86;0.82;2437;2459.074;0.071;0.88;0.83;1051;3.858;0.599;0.82;0.73;1047;693.863;0.601;0.82;0.73;2500;502.733;0.047;0.88;0.83
2;commons-io;2.6 (2017);28691;26493;0.9234;3429;1067;3.2137;0.1195;1.286;0.87;0.81;0.5101;62665.2;0.8606;734.71;0.8481;666.744;FALSCH;271;3.423;0.746;0.84;0.62;271;97.271;0.746;0.84;0.62;821;181 108;0.231;0.87;0.72;434;2.592;0.593;0.84;0.76;430;466.196;0.597;0.84;0.75;1029;365.503;0.036;0.87;0.8;286;0.790;0.732;0.82;0.69;280;66.275;0.738;0.8;0.67;1001;91.031;0.062;0.87;0.78
;;;;;;;;;;;;;;;;;;;WAHR;472;1.276;0.558;0.84;0.71;472;92.501;0.558;0.84;0.71;1035;140.819;0.030;0.87;0.80;434;2.224;0.593;0.84;0.76;430;467.159;0.597;0.84;0.75;1015;401.771;0.049;0.87;0.8;300;0.971;0.719;0.82;0.70;294;63.682;0.724;0.81;0.68;1007;90.641;0.056;0.87;0.81
3;opencsv;3.3 (2016);7371;9819;1.3321;876;286;3.0629;0.1188;0.708;0.93;0.83;0.5325;32754.56;0.8851;149.76;0.9188;146.87;FALSCH;60;0.137;0.790;0.86;0.72;60;1.831;0.790;0.86;0.72;228;61.694;0.091;0.91;0.81;91;0.368;0.682;0.89;0.80;91;7.209;0.682;0.89;0.80;266;251.435;0.070;0.92;0.83;46;0.127;0.839;0.86;0.74;44;0.985;0.846;0.85;0.72;238;24.395;0.168;0.92;0.82
;;;;;;;;;;;;;;;;;;;WAHR;91;0.169;0.790;0.85;0.73;92;1.84;0.678;0.85;0.73;260;53.474;0.091;0.92;0.83;91;0.282;0.682;0.89;0.8;91;7.578;0.682;0.89;0.8;243;277.703;0.150;0.92;0.83;50;0.128;0.825;0.86;0.75;49;1.166;0.829;0.85;0.73;234;29.505;0.182;0.92;0.82
4;commons-cli;1.4 (2017);6268;5393;0.8604;933;318;2.9340;0.1489;0.650;0.91;0.88;0.5180;2936.12;0.9547;167.80;0.9398;168.4;FALSCH;55;0.234;0.827;0.85;0.57;53;1.410;0.833;0.86;0.57;203;22.50;0.362;0.89;0.61;83;0.485;0.739;0.87;0.84;80;5.379;0.748;0.87;0.84;270;97.850;0.151;0.92;0.88;27;0.183;0.915;0.79;0.63;26;0.990;0.918;0.79;0.64;284;7.218;0.107;0.9;0.87
;;;;;;;;;;;;;;;;;;;WAHR;118;0.187;0.629;0.89;0.84;116;1.312;0.635;0.89;0.84;233;46.45;0.267;0.9;0.87;83;0.356;0.739;0.87;0.84;80;5.052;0.748;0.87;0.84;266;99.840;0.164;0.90;0.88;27;0.164;0.915;0.79;0.63;26;0.959;0.918;0.79;0.64;283;6.585;0.110;0.91;0.88
5;commons-csv;1.6 (2019);4793;6086;1.2698;976;311;3.1383;0.2036;0.830;0.91;0.82;0.4618;8942.30;0.8983;202.50;0.9226;199.6;FALSCH;33;0.178;0.894;0.82;0.63;33;0.776;0.894;0.82;0.63;181;11.87;0.418;0.87;0.742;72;0.373;0.768;0.85;0.76;71;5.834;0.772;0.85;0.76;257;322.03;0.174;0.91;0.82;29;0.163;0.907;0.78;0.62;28;0.495;0.910;0.80;0.64;274;5.236;0.119;0.9;0.81
